,Geographic area name,Estimated Percent,In the labor force,In the labor force Employed,In the labor force Employed difficulty,With a hearing difficulty In the labor force Employed,With a vision difficulty In the labor force Employed,With a cognitive difficulty In the labor force Employed,With an ambulatory difficulty In the labor force Employed, With a self care difficulty In the labor force Employed,With an independent living difficulty In the labor force Employed,No disability In the labor force Employed,In the labor force Unemployed,In the labor force Unemployed difficulty,With a hearing difficulty In the labor force Unemployed,With a vision difficulty In the labor force Unemployed,With a cognitive difficulty In the labor force Unemployed,With an ambulatory difficulty In the labor force Unemployed,With a self care difficulty In the labor force Unemployed,With an independent living difficulty In the labor force Unemployed,No disability In the labor force Unemployed,Not in labor force,Not in labor force disability,With a hearing difficulty Not in labor force,With a vision difficulty Not in labor force,With a cognitive difficulty Not in labor force,With an ambulatory difficulty Not in labor force,With a self care difficulty Not in labor force,With an independent living difficulty Not in labor force,No disability Not in labor force,With a hearing difficulty,With a vision difficulty,With a cognitive difficulty,With an ambulatory difficulty,With a self care difficulty,With an independent living difficulty,With a hearing difficulty In the labor force,With a vision difficulty In the labor force,With a cognitive difficulty In the labor force,With an ambulatory difficulty In the labor force,With a self-care difficulty In the labor force,With an independent living difficulty In the labor force
0,Alabama,15.9,72.4123359,68.8698528,4.5686529,1.3054426,1.1830433,1.4629016,1.4193696,0.2970437,0.60838,64.3011999,3.5424831,0.537675,0.0699129,0.090198,0.2692163,0.2037462,0.07501,0.1716482,3.0048081,27.5876641,8.7167264,1.3566202,1.5167311,4.0836021,5.3713081,1.8500055,4.0058024,18.8709377,4.4,3.1,6.3,9.3,3.3,7.4,0.013753555,0.012732413,0.017321179,0.016231158,0.003720537,0.007800282
1,Alaska,11.7,75.8871364,71.5603948,4.617936,1.9701943,0.7729347,1.573319,1.2208205,0.4028227,0.8390425,66.9424588,4.3267416,0.4698455,0.1672138,0.0670227,0.2056432,0.16424,0.0548992,0.16424,3.8568961,24.1128636,5.408713,1.3452587,0.8843343,2.5900976,2.9078266,1.106676,1.9953564,18.7041506,4.7,2,4.9,5.7,2,4.4,0.021374081,0.008399575,0.017789622,0.013850606,0.004577219,0.010032825
2,Arizona,13.2,76.2606123,72.5373198,4.2070013,1.089656,0.9726616,1.4872667,1.316771,0.2470747,0.7497984,68.3303185,3.7232924,0.5068101,0.0629733,0.140568,0.2912458,0.1413475,0.0433916,0.1753144,3.2164823,23.7393877,5.9123598,0.8531399,0.9480723,2.9324881,3.3140602,1.3501946,2.8313434,17.8270279,4,2.5,5.1,7,2.4,5.7,0.011526293,0.011132296,0.017785124,0.014581185,0.002904663,0.009251128
3,Arkansas,17.5,73.3853059,69.9968714,5.1617766,1.551326,1.0939829,1.6541713,1.8251061,0.2893093,0.695116,64.8350948,3.3884345,0.5539881,0.0861216,0.0970432,0.3555217,0.1182038,0.0552338,0.2003436,2.8344464,26.6146941,9.6817939,1.4729405,1.939385,4.8445375,6.0269173,2.3942252,4.6615434,16.9329003,5,3.4,7.2,10.1,3.6,7.8,0.016374475,0.011910261,0.020096929,0.019433099,0.003445432,0.008954596
4,California,10.6,77.3512607,73.4621496,2.9840899,0.7790658,0.6722895,0.9523944,0.970872,0.2268787,0.5171842,70.4780597,3.8891111,0.3929024,0.0605721,0.0726225,0.2051732,0.1173174,0.0362661,0.1169442,3.4962087,22.6487393,4.4416591,0.6235299,0.7145439,2.2764777,2.3283175,1.2238736,2.3449371,18.2070802,2.9,1.9,4.3,5.8,2.7,5.5,0.008396379,0.00744912,0.011575675,0.010881894,0.002631449,0.006341284
5,Colorado,10.6,81.569921,78.6288603,3.9819649,1.2490851,0.7711209,1.5050456,1.0622948,0.1955588,0.7044639,74.6468954,2.9410607,0.4968136,0.0685838,0.0840822,0.2575802,0.1636405,0.0526386,0.1777426,2.444247,18.430079,3.9022111,0.6519649,0.6927912,2.0412893,2.0176927,0.8607322,1.9850205,14.5278679,3.5,1.9,4.2,4.9,1.7,4.4,0.013176689,0.00855203,0.017626258,0.012259353,0.002481974,0.008822065
6,Connecticut,11.9,80.6646445,76.3943232,3.9308751,0.9575185,0.7915364,1.5227115,1.2209508,0.2721078,0.8162776,72.4634481,4.2703213,0.6244067,0.0894633,0.1184275,0.38085,0.1825528,0.0511809,0.1533131,3.6459146,19.3353555,4.8797181,0.4691198,0.5589962,2.783689,2.4671478,1.1643535,2.4406623,14.4556374,3,1.9,5.2,6,2.5,5.6,0.010469818,0.009099639,0.019035615,0.014035036,0.003232887,0.009695908
7,Delaware,13.8,79.2527689,75.6515084,4.6135914,1.0756348,0.7393666,1.8820082,1.2595507,0.3509038,0.6240445,71.037917,3.6012604,0.6742996,0.1377165,0.1493545,0.534467,0.3126394,0.0714151,0.3623655,2.9269609,20.7472311,6.2540226,0.8698535,0.9560806,3.5176783,3.4120545,1.5603757,3.024826,14.4932085,3.6,2.1,6.4,7.3,2.7,6.1,0.012133513,0.008887212,0.024164752,0.015721901,0.004223189,0.0098641
8,District of Columbia,11.3,80.7791687,75.5812656,2.9222444,0.580232,0.5812656,1.0690987,0.9787669,0.1978205,0.5694831,72.6590212,5.1979031,0.5643154,0.1056283,0.0926056,0.3272203,0.1407688,0.0793762,0.1858313,4.6335877,19.2208313,5.501972,0.4671622,0.9833145,2.9334066,2.8226107,0.9860017,2.8542371,13.7188593,1.9,2,4.7,6.3,2.1,5.2,0.006858603,0.006738712,0.013963189,0.011195356,0.002771967,0.007553145
9,Florida,13.7,76.8985112,73.4738346,3.6469319,0.9424723,0.8364099,1.2075923,1.2660406,0.3066575,0.6661983,69.8269028,3.4246765,0.4009903,0.0635255,0.0720649,0.2170502,0.1314007,0.0434244,0.1304652,3.0236863,23.1014888,6.0515942,0.8467482,1.0133218,2.9643345,3.490161,1.4411295,2.98741,17.0498946,3.9,2.5,5.3,7.7,2.8,6.1,0.010059978,0.009084747,0.014246425,0.013974412,0.003500819,0.007966634
