,id,Geographic area name,Estimated Percent,Worked full time,Worked full time disability,With a hearing difficulty Worked full time,With a vision difficulty Worked full time,With a cognitive difficulty Worked full time,With an ambulatory difficulty Worked full time,With a self care difficulty Worked full time,With an independent living difficulty Worked full time,No disability Worked full time ,Worked less than full time,Worked less than full time disability,With a hearing difficulty Worked less than full time,With a vision difficulty Worked less than full time,With a cognitive difficulty Worked less than full time,With an ambulatory difficulty Worked less than full time,With a self care difficulty Worked less than full time,With an independent living difficulty Worked less than full time,No disability Worked less than full time,Did not work,Did not work disability,With a hearing difficulty Did not work,With a vision difficulty Did not work,With a cognitive difficulty Did not work,With an ambulatory difficulty Did not work,With a self care difficulty Did not work,With an independent living difficulty Did not work,No disability Did not work,With a hearing difficulty,With a vision difficulty,With a cognitive difficulty,With an ambulatory difficulty,With a self care difficulty,With an independent living difficulty
1,0400000US01,Alabama,15.9,52.87877551,3.096177073,1.042838698,0.839368056,0.769248519,0.923676812,0.17602208,0.299282308,49.78259844,21.357185,2.241827682,0.385071978,0.475855426,1.06773871,0.819324063,0.215800108,0.524174537,19.11535732,25.76403949,8.485049488,1.30406497,1.474748873,3.978732703,5.251422969,1.830237019,3.962373774,17.27899,4.4,3.1,6.3,9.3,3.3,7.4
2,0400000US02,Alaska,11.7,49.35802271,2.628526986,1.323298983,0.462296844,0.734734025,0.658790159,0.212505576,0.387954205,46.72949573,30.48940331,2.787048368,0.97537543,0.401221507,1.165235094,0.818912767,0.266261023,0.634543022,27.70235495,20.15257397,5.080919104,1.183992314,0.860773392,2.469090618,2.815184198,1.085631283,1.976141731,15.07165487,4.7,2,4.9,5.7,2,4.4
3,0400000US04,Arizona,13.2,53.86128576,2.795132582,0.822267333,0.671093539,0.830345683,0.83575487,0.152591048,0.390571668,51.06615318,24.5362862,2.119102273,0.356864637,0.430868933,1.011990444,0.732814965,0.188258615,0.595908198,22.41718393,21.60242804,5.711936447,0.8266372,0.959339446,2.86866446,3.203608896,1.299811174,2.769976318,15.89049159,4,2.5,5.1,7,2.4,5.7
4,0400000US05,Arkansas,17.5,53.82063505,3.373246567,1.109568937,0.737209752,0.942047122,1.207237853,0.189023766,0.35472531,50.44738848,22.081423,2.704524511,0.60580894,0.49659268,1.228455386,1.002969317,0.219228888,0.606719075,19.37689849,24.09794196,9.319787483,1.395010182,1.896608608,4.683727915,5.760020023,2.330515706,4.595558539,14.77815447,5,3.4,7.2,10.1,3.6,7.8
5,0400000US06,California,10.6,52.86963749,1.81673605,0.543717334,0.430115959,0.478362808,0.602919494,0.131111006,0.258255787,51.05290144,25.62409696,1.658288034,0.307380373,0.323429844,0.727148054,0.528656344,0.157775357,0.414829382,23.96580893,21.50626555,4.343627321,0.612070112,0.705910089,2.228534367,2.284931049,1.198132125,2.305980341,17.16263823,2.9,1.9,4.3,5.8,2.7,5.5
6,0400000US08,Colorado,10.6,57.5228964,2.433160822,0.970505339,0.509854592,0.761486738,0.575394559,0.103182863,0.318959314,55.08973558,26.79844659,2.247152418,0.386063081,0.369168458,1.131660496,0.719431693,0.160121932,0.627977328,24.55129417,15.67865701,3.700676427,0.61306538,0.668971224,1.910767907,1.948801752,0.845624753,1.920290331,11.97798058,3.5,1.9,4.2,4.9,1.7,4.4
7,0400000US09,Connecticut,11.9,54.00298731,2.032041525,0.674761355,0.456542615,0.528241746,0.668105546,0.159785325,0.322416582,51.97094579,28.30371422,2.571299783,0.355144803,0.440568672,1.404697073,0.748847397,0.172637922,0.686145084,25.73241443,17.69329847,4.831658518,0.486195393,0.571848773,2.754311587,2.453698518,1.155218981,2.401691402,12.86163995,3,1.9,5.2,6,2.5,5.6
8,0400000US10,Delaware,13.8,55.74538844,3.085308416,0.927514561,0.629510833,1.078985095,0.708508271,0.154115537,0.220064291,52.66008002,25.75087241,2.461792924,0.261326346,0.252509667,1.326733756,0.822243421,0.227470301,0.623339158,23.28907949,18.50373915,5.994812266,0.89436385,0.962781274,3.528434669,3.453492903,1.601108785,3.167832525,12.50892689,3.6,2.1,6.4,7.3,2.7,6.1
9,0400000US11,District of Columbia,11.3,59.9594437,1.908543694,0.406389787,0.383238385,0.514705274,0.685860281,0.125058912,0.421272831,58.05090001,22.6592279,1.5250986,0.214357177,0.306549366,0.879753272,0.382411549,0.124025367,0.253011749,21.1341293,17.38132839,5.554889493,0.532275535,0.967397865,2.935267027,2.87387447,1.014114087,2.935267027,11.8264389,1.9,2,4.7,6.3,2.1,5.2
10,0400000US12,Florida,13.7,55.27642711,2.388143334,0.714068289,0.588056709,0.658178635,0.825127989,0.196901091,0.363282752,52.88828378,22.65650642,1.777898672,0.309743821,0.336241434,0.805554616,0.649103563,0.167501054,0.494859311,20.87860775,22.06706647,5.933474361,0.828933922,0.997498398,2.92524371,3.413370676,1.4268093,2.925931336,16.1335921,3.9,2.5,5.3,7.7,2.8,6.1
11,0400000US13,Georgia,12.6,56.41775062,2.635305292,0.787691099,0.687527776,0.762778643,0.836333409,0.140418492,0.306885361,53.78244532,21.76267221,1.828739234,0.30268401,0.353333632,0.839274355,0.648548573,0.145522356,0.485505027,19.93393298,21.81957718,6.135279773,0.782213782,1.094529779,3.072946037,3.727080851,1.443319727,2.96462898,15.6842974,3.2,2.5,5.3,7,2.4,5.7
12,0400000US15,Hawaii,11.9,57.88352049,2.174864284,0.842228709,0.468465288,0.494568199,0.834536547,0.149429708,0.263803333,55.7086562,23.52654111,1.375509921,0.316513559,0.151825628,0.535298828,0.529498181,0.145016172,0.385743019,22.15103119,18.5899384,4.318959919,0.624452249,0.726467973,2.264774311,2.226439601,1.091026021,2.308531364,14.27097848,4.1,1.9,4.5,6.5,2.3,5.9
13,0400000US16,Idaho,13.7,52.92084539,3.05623022,1.160552076,0.629084303,0.798751128,0.756528105,0.088513401,0.370516709,49.86461517,29.06173858,3.25310959,0.627147467,0.600419131,1.663935728,1.228825541,0.272319129,0.732123973,25.80862899,18.01741603,5.49644978,0.859374092,0.914767599,2.966748401,3.041800793,1.236379201,2.618892672,12.52096625,4.7,2.3,5.5,6.6,2.1,5.3
14,0400000US17,Illinois,11.5,56.98581779,2.288662987,0.679432815,0.568283849,0.652652593,0.682733241,0.141853316,0.296063736,54.6971548,24.07528972,1.869521976,0.349637174,0.336110628,0.873482227,0.635357845,0.169218259,0.523702121,22.20576774,18.9388925,4.950923716,0.631498687,0.806252305,2.413182574,2.869238971,1.239023812,2.6304649,13.98796878,3.1,2.1,4.5,6.3,2.4,5.6
15,0400000US18,Indiana,13.5,55.657284,2.973424076,0.97674731,0.678253213,0.796108632,0.939485297,0.178101478,0.380082484,52.68385993,25.47806317,2.392280943,0.396524534,0.398017004,1.230939908,0.841056868,0.278320871,0.702804352,23.08578223,18.86465283,6.261784298,0.896153904,0.993637101,3.274803616,3.693466462,1.605674373,3.229009646,12.60286853,3.7,2.4,5.6,7.3,2.7,6.1
16,0400000US19,Iowa,11.8,59.94156243,2.488434231,0.803301572,0.493591056,0.866888441,0.663980216,0.130183768,0.327878193,57.4531282,25.72876303,2.567985006,0.41178276,0.312451792,1.447877849,0.744337248,0.238168569,0.726599575,23.16077803,14.32967454,4.450220834,0.648446314,0.561692969,2.279935951,2.43898375,1.168321377,2.276710919,9.879453701,3.7,1.7,4.8,5.8,2.1,5
17,0400000US20,Kansas,13.5,59.12948465,3.409119769,1.285248961,0.708094747,1.122355866,0.879906209,0.121490608,0.419281392,55.72036489,24.97414559,2.778750661,0.691616439,0.516497503,1.40213273,0.902999465,0.275996893,0.844468988,22.19539493,15.89636975,5.372814336,0.939558866,0.995490614,2.820861892,3.183089358,1.313185304,2.703682813,10.52355542,4.3,2.5,5.6,6.9,2.4,5.7
18,0400000US21,Kentucky,17.9,52.07248185,3.468140358,1.153082724,1.001162013,0.941780306,1.057943886,0.206065073,0.467706299,48.6043415,23.55660252,3.011624647,0.492762666,0.518045106,1.438876028,1.03073983,0.274866467,0.942722274,20.54497788,24.37091562,10.08407636,1.673727664,2.01091478,5.043978635,6.123286371,2.311779582,4.586784707,14.28683927,5,3.7,7.7,10,3.6,8.1
